id;distancia;velocidad;costo;paths;factor_trafico
35486854;0.4150146;40.0;0.0017292333333333333;[35486851, 35486855, 35486857, 35486864, 111965042, 207984573];3
35486855;0.1356545;40.0;0.00084785;[35486853, 35486854, 35486856, 111899767, 111956897];6
35486856;0.34592080000000003;40.0;0.00172958;[35486851, 35486855, 35486857, 35486863, 35486864];3
35486857;0.4409022;40.0;0.0018371000000000001;[35486853, 35486854, 35486856, 35486959, 42337956, 111899767, 111956897];2
35486859;0.2093264;40.0;0.0017443666666666668;[35486860, 35486863, 35486864];3
35486860;0.0739122;40.0;0.0009239;[35486859];5
35486863;0.171257;40.0;0.001427133333333333;[35486856, 35486859];3
35486864;0.27965419999999996;40.0;0.001747825;[35486854, 35486856, 35486859, 129897416];3
35486867;0.168383;60.0;0.0009354333333333334;[129897416, 207984573];3
35486871;0.3013926;40.0;0.0012557999999999998;[35486851, 35486872, 35486880, 111965042, 207984573];4
35486872;0.1910004;40.0;0.004775;[35486853, 35486871];0
35486880;0.1929717;40.0;0.0016080666666666665;[35486853, 35486871, 35486882];3
35486882;0.1181756;40.0;0.0029544;[35486880];1
35486959;0.7128854;40.0;0.002227775;[35486851, 35486857, 35486960, 35486964, 35486967, 42337956, 111965042, 207984573];2
